half_position,half red,total red,half_complete_name,whole_complete_name,half_file_name,whole_file_name,pair number,matrix number
top,23,47,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_23_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_47.png,pair_1_mat_1_dim_10_r_23_top_half.png,pair_1_mat_1_dim_10_r_47.png,1,1
top,34,58,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_34_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_58.png,pair_1_mat_2_dim_10_r_34_top_half.png,pair_1_mat_2_dim_10_r_58.png,1,2
bottom,29,56,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_29_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_56.png,pair_2_mat_1_dim_10_r_29_bot_half.png,pair_2_mat_1_dim_10_r_56.png,2,3
bottom,24,51,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_24_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_51.png,pair_2_mat_2_dim_10_r_24_bot_half.png,pair_2_mat_2_dim_10_r_51.png,2,4
top,28,53,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_28_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_53.png,pair_3_mat_1_dim_10_r_28_top_half.png,pair_3_mat_1_dim_10_r_53.png,3,5
top,19,48,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_19_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_48.png,pair_3_mat_2_dim_10_r_19_top_half.png,pair_3_mat_2_dim_10_r_48.png,3,6
top,29,58,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_29_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_58.png,pair_4_mat_1_dim_10_r_29_top_half.png,pair_4_mat_1_dim_10_r_58.png,4,7
top,26,46,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_26_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_46.png,pair_4_mat_2_dim_10_r_26_top_half.png,pair_4_mat_2_dim_10_r_46.png,4,8
top,28,53,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_28_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_53.png,pair_5_mat_1_dim_10_r_28_top_half.png,pair_5_mat_1_dim_10_r_53.png,5,9
top,33,55,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_33_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_55.png,pair_5_mat_2_dim_10_r_33_top_half.png,pair_5_mat_2_dim_10_r_55.png,5,10
top,26,46,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_26_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_46.png,pair_6_mat_1_dim_10_r_26_top_half.png,pair_6_mat_1_dim_10_r_46.png,6,11
